FG,AMOUNT,AVG,STD
cCl,1646,0.7988371849060059,0.012108071868553227
cOc,154,0.44965226619274584,0.07285937626140665
CO,151,1.1911641477749049,0.19555798200268146
cnn(c)C,39,1.1321932597038074,0.14945678103230003
cnc,269,0.6515409822357632,0.1229770818866734
COC(C)=O,113,1.2396956882645598,0.10917121071541547
cOC,186,0.4332850094764463,0.046595975096070656
coc,45,0.6320830504099528,0.0563208705487681
cC1(C)CO1,2,1.1011812686920166,0.004822969436645508
cC(C)=O,18,1.0960978402031794,0.1058823718937572
cO,95,1.3261442711478786,0.08864730055877593
CF,449,0.13946056312866892,0.05092803186558268
cC(=O)OC,47,1.124264935229687,0.09428326749661028
cN,55,1.2333178303458474,0.04225535486221304
cC(=O)O,12,3.5950472156206765,0.08566074576886502
CC(=O)O,40,3.7375299513339995,0.21599468664816265
C#CC,12,0.8884505977233251,0.04207604778814266
cNC(=O)N(C)C,11,3.3006053404374556,0.135794101302959
c[N+](=O)[O-],103,1.4796998732298323,0.07078296824204174
CNC(C)=O,6,2.2711342573165894,0.42697732513096764
CCl,315,0.7421137800292363,0.09457314902162829
cBr,221,1.4130915969745066,0.024650402220589125
COC,85,0.4743182911592371,0.051683920214350566
CN(C)C,15,0.5827838897705078,0.08701001580604453
cN(C)C(=O)NC,2,3.4965107440948486,0.03725314140319824
csc,22,0.8943215716968883,0.03675493196056034
cP(c)(c)=O,1,1.2718963623046875,0.0
COP(=S)(OC)SC,9,2.7289348708258734,0.04697092567131041
cS(=O)(=O)NC,1,2.4301977157592773,0.0
cOC(C)OC,1,1.2046747207641602,0.0
cOS(C)(=O)=O,2,2.1679954528808594,0.005993843078613281
cSC,16,0.8808170408010483,0.057368845032895945
cnn(c)C(=O)N(C)C,2,2.6289069652557373,0.04414534568786621
cF,109,0.2656611696295782,0.010663707202744515
C/C=C/C,6,0.887083113193512,0.05361732608683796
cNC,47,0.7591374478441604,0.09320338101118986
c=O,37,0.6401746466353133,0.20663710704921404
CC#N,32,1.0305159613490105,0.25177590747920775
cN(C)C(C)=O,17,1.430735475876752,0.17885466475989129
cC=C,2,0.8632868528366089,0.009604811668395996
cn(c)C,19,0.5459418673264352,0.09771628141125578
CC1CO1,3,1.2824913660685222,0.021610241834053096
C=C(C)C,11,0.8268385258587924,0.08131534841159958
cN(C)C,17,0.5545476184171789,0.11667470931537766
cNC(=O)NS(C)(=O)=O,1,5.445348739624023,0.0
cNN1C(=O)CN=C1SC,1,4.6367573738098145,0.0
CC1OC(C)OC(C)OC(C)O1,1,3.232858657836914,0.0
C=CC,35,0.8532512119838169,0.12206570485398388
CC=C(C)C,15,0.8801178296407064,0.05153456344972512
CC(C)=O,34,1.1179883199579574,0.15040807510438023
cOC(=O)NC,14,2.951301404408046,0.05321845564353454
cOC(=O)N(C)SN(C)C,2,2.845858573913574,0.030035972595214844
cN=Nc,2,1.2258782386779785,0.033925533294677734
CC(=O)NC,1,2.0971908569335938,0.0
CNC(=O)OC,3,2.700337568918864,0.13996702191116078
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1,2.2739436626434326,0.0
cOP(=S)(OC)OC,28,2.211456435067313,0.06513626099669098
CI,8,2.2294094264507294,0.025343476445607666
CBr,53,1.3806129761461943,0.08529936021551783
cNC(c)=O,12,2.3495179812113443,0.10358114355682708
cI,10,2.27208616733551,0.049177166428239855
C[N+](=O)[O-],10,1.731667399406433,0.08457153986028171
cN(COC)C(C)=O,4,2.2309001684188843,0.01530071372048954
CNC,11,0.7443107474933971,0.03833795956552446
CO[N+](=O)[O-],30,1.889248259862264,0.06876931149316877
CC=O,9,1.4372028377321031,0.08196505248590415
cSc,4,0.8563203811645508,0.017126173839548953
cN(c)C,1,0.6383733749389648,0.0
C/C=C(/C)C,1,1.1580290794372559,0.0
cSCSP(=S)(OC)OC,1,4.254006385803223,0.0
cN(C(C)=O)N1CCOC1=O,1,3.7498207092285156,0.0
C/C=C\C,6,0.826754113038381,0.19247025148539795
c-n(c)nc,10,1.1927174568176269,0.12376850725164194
cNS(C)(=O)=O,1,2.652364730834961,0.0
CSC(=O)N(C)C,12,2.5446653167406716,0.21355038252216954
C=CC(=O)OC,5,2.0070395946502684,0.22798015599230678
O=C1ccC(=O)O1,1,2.572294235229492,0.0
cC1=NCC(=O)N1,4,3.5947444438934326,0.004738592255734479
cC(=O)ON(C)C(c)=O,1,2.1610116958618164,0.0
cNC(=O)N(C)OC,2,3.6554479598999023,0.0006847381591796875
cS(N)(=O)=O,1,3.2920989990234375,0.0
CC(=O)/C=C/C(C)=C(C)C,1,2.9862005710601807,0.0
CC(=O)C(C)=C(C)C,2,1.9161350727081299,0.13614392280578613
COP(=O)(OC)O/C(C)=C/C(=O)N(C)C,1,5.359967231750488,0.0
cC#N,18,1.4404237402809992,0.07831449350874899
COS(=O)(=O)OC,3,2.8083905378977456,0.006885501360722099
CC(Cl)=C(C)Cl,10,2.109256410598755,0.0031074806863629727
CSC,9,0.9053062597910563,0.041898639370650935
CN=NC,1,0.8589911460876465,0.0
cC=O,14,1.490151286125183,0.027432675876378123
cNC(=O)OC,7,2.816770144871303,0.08593001762616258
c[nH]c,12,1.1083515286445618,0.0344556760104397
C/C=C/Cl,2,1.6718525886535645,0.04508638381958008
cOC(=O)/C=C/C,1,1.995875358581543,0.0
CNC(=O)NC,1,3.5215206146240234,0.0
CC1OC1(C)C,1,1.1149001121520996,0.0
CN,16,1.2271636575460434,0.06474406401966341
O=C1OCCO1,1,2.153507947921753,0.0
CN(C)N=O,12,2.05559649070104,0.20457224935713006
CN=C(NC)N[N+](=O)[O-],1,6.062989234924316,0.0
CC1OC1(C)Cl,1,1.702754020690918,0.0
cnn(c)[Sn](C)(C)C,1,3.2213993072509766,0.0
cC1=C(OC(C)=O)COC1=O,1,3.014944076538086,0.0
C/C(Cl)=C/C,2,1.2558927536010742,0.0
cNC(=O)NS(c)(=O)=O,7,5.388193266732352,0.03874597942378822
cOP(c)(=S)OC,2,1.8583598136901855,0.004328250885009766
CC(=O)C=C(C)C,1,2.048976182937622,0.0
C/C=C/C=C/C,1,1.741445541381836,0.0
cC(=O)N(c)C,3,1.211264928181966,0.022664582279064534
COP(=O)(SC)N1CCSC1=O,1,5.710318088531494,0.0
COP(=O)(OC)SC,1,2.9848756790161133,0.0
c[C@@]1(C)OCCO1,2,1.1569938659667969,0.0
cN=C(SC)SC,1,2.6901626586914062,0.0
cS(c)(=O)=O,2,1.6789474487304688,0.03931999206542969
cSP(=O)(OC)Sc,1,3.1226797103881836,0.0
COC(=O)/C=C\C,1,1.9418935775756836,0.0
c[Sn](c)(c)OC(C)=O,1,3.1781535148620605,0.0
CC(C)=CC=C(C)C,1,1.880213737487793,0.0
cSP(C)(=S)OC,1,2.437863349914551,0.0
COP(=S)(OC)N1C(=O)ccC1=O,1,4.626095294952393,0.0
CC(N)=O,3,3.7574377059936523,0.041433495564240704
COP(=O)(OC)OC,12,2.520700693130493,0.07105730123749986
COP(C)(=O)OC,1,2.488628387451172,0.0
cNC(C)=O,3,2.2981696128845215,0.27446292794107113
COS(=O)OC,2,2.259528398513794,0.03700613975524902
C=C(C)C(=O)OC,6,2.0674545764923096,0.048866444593947816
c/C(=N/OC)C(=O)NC,2,3.678372621536255,0.005983114242553711
c/C(C)=N\OC,3,1.0135083198547363,0.0950457395377938
C[Sn](C)(C)C,1,1.4402997493743896,0.0
COP(=O)(NC(C)=O)SC,1,5.471854209899902,0.0
cC(c)=C(Cl)Cl,2,2.0840225219726562,0.0026230812072753906
COP(=O)(OC)OC1=C(Cl)CC1,1,3.89931583404541,0.0
CC=CC,9,0.8143162859810723,0.043242011273614385
cNC(=O)NC,2,3.608576774597168,0.062415122985839844
CC=COC,1,1.4854652881622314,0.0
cnoc,4,1.2544785737991333,0.06133479513293831
CSP(=O)(SC)SC,1,3.889230251312256,0.0
cNC(=O)NC(c)=O,4,5.090695261955261,0.08512525400055472
cOC(C)=O,6,1.105516831080119,0.08794910727867528
c/C(=N/OC)C(=O)OC,1,2.101858139038086,0.0
c/C(C)=N/OC,2,1.0958337783813477,0.027892112731933594
cC1(C)OCCO1,2,1.1653804779052734,0.015583992004394531
cN=C(C)SC,1,1.830240249633789,0.0
cOC(=O)N(C)C,1,1.807711124420166,0.0
COC(C)OC,1,1.2966985702514648,0.0
cC1=NCCO1,1,1.4936552047729492,0.0
c/C=N/OC,1,1.126185417175293,0.0
C=CC(=C)C,1,1.649860143661499,0.0
CC=C(Cl)Cl,10,2.141406941413879,0.059249766428185364
CC(C)=CC,3,0.8599828084309896,0.014503105868246928
CO[C@@](C)(C)OC,1,1.1492156982421875,0.0
C/C=C(\C)C,2,0.8790817260742188,0.0007228851318359375
C/C(C)=C\C=C\C,1,1.596247673034668,0.0
CC(=O)N(C)C,4,1.6837750673294067,0.33034556300408563
COCOC,2,1.3323171138763428,0.01754927635192871
CN(C)S(C)(=O)=O,3,1.6800038019816081,0.010864598164293963
cC(=O)SC,3,1.8562852541605632,0.042606189634249475
cnnc,9,1.3351813952128093,0.06601616797471747
c-n1cn(C(=O)N(C)C)nn1,1,3.4842700958251953,0.0
cN1C(=O)C(C)=C(C)C1=O,1,3.6364054679870605,0.0
cOP(=O)(NC)OC,1,2.7304439544677734,0.0
c/C(=N\OC)C(=O)OC,1,2.0142273902893066,0.0
cnn(c)c,5,1.2199426651000977,0.15571066297307962
cNS(c)(=O)=O,5,2.518140411376953,0.03487899929272139
CN(C)C(C)=O,1,1.340566635131836,0.0
cC1=NCCS1,1,2.115267753601074,0.0
CC(=O)N1CCOC1(C)C,1,2.3205504417419434,0.0
cS,1,1.0509865283966064,0.0
cn(C)n(c)C,1,1.0475177764892578,0.0
FC1(F)OccO1,1,1.608388900756836,0.0
CC(=O)OC,2,1.2240710258483887,0.08233308792114258
CC(=O)C(C(C)=O)=C(C)O,2,4.903972625732422,0.021674156188964844
COC(=O)C(C(=O)OC)=C1SCCS1,1,4.683663368225098,0.0
C/C=C/C(C)=C/C(=O)OC,2,2.903716802597046,0.030637502670288086
c/C(C#N)=N/OP(=S)(OC)OC,1,4.090730667114258,0.0
CSSC,2,1.772160291671753,0.007967233657836914
cOP(=S)(NC)OC,1,2.585084915161133,0.0
cOP(=O)(Oc)Oc,7,2.0056945255824496,0.03040969156884453
C[NH2+]C,1,0.6191651821136475,0.0
COP(=S)(OC)OP(=S)(OC)OC,1,4.025761604309082,0.0
cN/N=C(\c)C,1,2.15224552154541,0.0
cC(=C)C,1,0.9089057445526123,0.0
COC(=O)NC,1,2.4890613555908203,0.0
c/C(=N\OC)C1=NOCCO1,1,3.1350059509277344,0.0
C=COC,1,1.3029236793518066,0.0
CNP(=S)(OC)O/C(C)=C\C(=O)OC,1,4.771566390991211,0.0
CC(=O)N(C)C=O,1,3.4094343185424805,0.0
cN1C(=O)CN(C(=O)NC)C1=O,1,6.046319961547852,0.0
cC(N)=O,1,3.69606876373291,0.0
cn(c)C(=O)N(C)C,2,1.8871560096740723,0.09020757675170898
COC=O,1,1.7319070100784302,0.0
cN=CN(C)C=Nc,1,2.917501449584961,0.0
c/C=C(\C)C(=O)[O-],1,2.083580493927002,0.0
CC(O)O,1,4.085341453552246,0.0
CSC(C)=O,1,2.0414905548095703,0.0
cNC(=O)Oc,2,2.7177157402038574,0.004112720489501953
C[Si](C)(C)[O-],1,0.8731021881103516,0.0
[Li+],2,1.4732252955436707,0.16879528760910034
cn[nH]c,2,2.3164327144622803,0.058411359786987305
c[nH]oc,1,2.21726655960083,0.0
cC(c)=O,12,1.0817572275797527,0.06625169460562112
COP(=O)(SC)SC,2,3.378774642944336,0.11198043823242188
cN1C(=O)COC1=O,2,2.8734054565429688,0.005356311798095703
cS(C)(=O)=O,3,1.7314771016438801,0.011551382046010332
CN=C=S,1,1.8450742959976196,0.0
COP(=O)(C#N)N(C)C,1,3.5314347743988037,0.0
cOP(=O)(OC)SC,2,2.9678053855895996,0.023302555084228516
COC(=O)/C=C(\C)OP(=O)(OC)OC,1,4.413337230682373,0.0
cN1CSC(=NC)N(C)C1=O,1,4.61121940612793,0.0
c1csnn1,2,2.3047327995300293,0.04885244369506836
cNN=C1C=CC(=O)C=C1,1,5.82659912109375,0.0
cC1=C(NC)OCC1=O,1,3.9251298904418945,0.0
c/C(=C\Cl)OP(=O)(OC)OC,1,3.8938684463500977,0.0
COP(=S)(OC)OC,1,2.2730908393859863,0.0
C[Si](C)(C)C,1,0.6886281967163086,0.0
cN=CN(C)C,1,1.907522201538086,0.0
C/C=C/C=C/C(=O)O,1,6.128446578979492,0.0
c/C=C/C(=O)OC,1,2.1389825344085693,0.0
C/C(C)=C/C=O,1,2.4088950157165527,0.0
c/C=C(\C)C(C)=O,1,1.6652393341064453,0.0
cNc,5,0.8082175254821777,0.04346805103207058
C/C=C\C=O,1,2.4805104732513428,0.0
CON=C(C)C,1,1.1224174499511719,0.0
cS(C)=O,2,1.2513318061828613,0.15380525588989258
C[Pb](C)(C)C,2,2.419378638267517,0.36851274967193604
CNC(=O)/C=C(\C)OP(=O)(OC)OC,1,6.3806962966918945,0.0
CS,2,1.153926432132721,0.003382384777069092
cC1OCCO1,1,1.2698793411254883,0.0
cC=CC(=O)OC,1,2.135706901550293,0.0
CC(Cl)=C(Cl)Cl,1,2.8055849075317383,0.0
cN(OC)C(=O)OC,1,1.7670040130615234,0.0
CC1=C(C)S(=O)(=O)CCS1(=O)=O,1,5.024078369140625,0.0
cN(SC)S(=O)(=O)N(C)C,2,3.4502389430999756,0.009070158004760742
CC(=O)C(C)=O,1,2.597996950149536,0.0
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,1,3.6533331871032715,0.0
cNNC(=O)OC,1,3.9359445571899414,0.0
cC(=O)OOC(c)=O,1,1.778337001800537,0.0
cnsc,1,1.484649658203125,0.0
CO[C@](C)(C)OC,1,1.1452465057373047,0.0
C/C=C/C=C(\C)C,1,1.5928630828857422,0.0
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1,1.6984210014343262,0.0
CN1C(=O)ccNS1(=O)=O,1,4.531614303588867,0.0
cn(c)N,4,2.51909601688385,0.10260615081146834
CS(=O)(=O)[O-],1,1.534803867340088,0.0
C/C=N/OC(=O)NC,2,3.6793346405029297,0.015368461608886719
CS(C)(=O)=O,1,1.7527422904968262,0.0
cONC=C1C=C(Br)C(=O)C(Br)=C1,1,8.050908088684082,0.0
CS/C(C)=N/OC(=O)N(C)SN(C)C(=O)O/N=C(\C)SC,1,7.021208763122559,0.0
cC(C)=CC,1,0.971466064453125,0.0
CNC(=O)O/N=C(/C)C,2,3.5120586156845093,0.02015388011932373
C/C(C)=N/O,1,3.2951602935791016,0.0
CS(C)=O,1,1.4644126892089844,0.0
cNC(=O)Nc,1,3.678302764892578,0.0
C[Hg]C,1,2.679553747177124,0.0
csn(c)C,1,1.5627655982971191,0.0
cOP(=O)(Oc)OC,1,2.150766372680664,0.0
C/C=C/C(=O)O,1,5.187445163726807,0.0
C=C(C)C(N)=O,1,5.185180187225342,0.0
c/C(=C/OC)C(=O)OC,1,2.2824392318725586,0.0
C=C[Si](OC)(OC)OC,1,2.1745076179504395,0.0
cC=Cc,1,1.0812087059020996,0.0
cNN,1,2.7223470211029053,0.0
cN=C=S,1,1.707249402999878,0.0
c/C=C/c,1,0.9410037994384766,0.0
cC(=O)NC,2,2.3321399688720703,0.0036172866821289062
CSN1C(=O)CCC1=O,1,3.4839324951171875,0.0
cOC(=S)N(c)C,1,2.052154541015625,0.0
cN=C(C)n(c)c,1,1.4642105102539062,0.0
ClC1=C(Cl)C(Cl)=C(Cl)C1,1,4.371099948883057,0.0
CON=C(C)C(C(C)=O)=C(C)O,2,4.645960330963135,0.015370845794677734
CSN1C(=O)ccC1=O,1,3.3292503356933594,0.0
CC1=C(C)C(=O)N(COC(C)=O)C1=O,1,5.164309501647949,0.0
C=CC(C)=O,1,2.3398327827453613,0.0
C1=CC=CCC=C1,1,2.6121692657470703,0.0
COP(=O)(F)OC,1,2.1159541606903076,0.0
cnn(c)C(=O)NC,1,3.2778825759887695,0.0
O,1,1.106698989868164,0.0
c[Sn](c)c,1,2.2413930892944336,0.0
COC(=O)/C=C\C(=O)OC,1,3.6167194843292236,0.0
cOP(=O)(OC)OC,1,2.3674049377441406,0.0
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1,2.858527898788452,0.0
CN(C)C=O,1,2.362424373626709,0.0
CC1OC1C,3,1.25630521774292,0.007679155801152326
cS(F)(F)(F)(F)F,3,1.711244265238444,0.023085143683285667
C#Cc,1,0.8720982074737549,0.0
CNC=O,1,3.0627846717834473,0.0
C/C=C(/C)Cl,1,1.2345280647277832,0.0
CC1(C)OCCO1,2,1.2051771879196167,0.02802407741546631
cn(c)C(=O)NC,1,3.023683547973633,0.0
CN1CCSC1=NC#N,1,4.445910453796387,0.0
C1COCO1,1,1.4706777334213257,0.0
CC1OC(C)OC(C)O1,1,2.427429676055908,0.0
C=C(C)Cl,1,1.6192762851715088,0.0
CO[Si](C)(OC)OC,1,1.6020946502685547,0.0
CNC(=O)O/N=C(\SC)C(=O)N(C)C,1,6.321440696716309,0.0
C[Si](C)(O)O,1,2.602069616317749,0.0
C/C(Cl)=C/Cl,1,2.3531785011291504,0.0
COC(=O)C(=O)OC,2,2.2519800662994385,0.04999423027038574
cC#CC,1,0.6448726654052734,0.0
c[nH][nH]c,1,2.566455841064453,0.0
CC(=O)OCN1C(=O)CN(C)C1=O,1,5.285873889923096,0.0
cC(C#N)=C(c)OC(C)=O,1,2.696164131164551,0.0
cOC(=O)SC,1,2.118135452270508,0.0
COP(C)(=O)SC,1,2.7726540565490723,0.0
CS(=O)(=O)F,1,2.1018126010894775,0.0
C[Hg]Cl,1,3.0981805324554443,0.0
cOP(C)(=S)OC,1,2.0084519386291504,0.0
CNC(=O)NC(=O)/C(C#N)=N/OC,1,7.832963466644287,0.0
c[Si](c)(C)C,1,0.6677122116088867,0.0
CN(C)C(=S)SSC(=S)N(C)C,1,5.624973297119141,0.0
CC1OCCO1,1,1.3378863334655762,0.0
CC1=C(C)C(=O)CC1,1,1.9075427055358887,0.0
CN1COCN(C)/C1=N/[N+](=O)[O-],1,5.989180564880371,0.0
cn(c)c,1,0.6630210876464844,0.0
cNC(=O)C1=C(C)OCCS1,1,5.162021636962891,0.0
cC1CO1,1,1.225069284439087,0.0
C=C(C)C=CC,1,1.6068761348724365,0.0
COC(=O)OC,1,1.5055440664291382,0.0
cN(C)C(=O)NS(c)(=O)=O,1,4.7280426025390625,0.0
c/C(=C/Cl)OP(=O)(OC)OC,2,3.881279468536377,0.008861064910888672
c-n(c)c,1,0.5321025848388672,0.0
c/C(=C\OC)C(=O)OC,2,2.271059989929199,0.04627227783203125
COP(=S)(OC)SCSC,1,4.181979179382324,0.0
C[NH+](C)C,1,0.6553564071655273,0.0
[Cl-],1,0.8115329742431641,0.0
cC(=C(C)C)N(C)C(C)=O,1,2.2529306411743164,0.0
C=COC(C)=O,1,2.182394027709961,0.0
c/C(=N\OC)C(=O)NC,1,3.739762306213379,0.0
CO/N=C(C)/C(=N/OC)C(/C)=N/OC,1,3.0961475372314453,0.0
COP(=S)(OC)SC(C)N1C(=O)ccC1=O,1,5.460936069488525,0.0
cOC(=O)N(C)SN(C)C(=O)OC,1,3.995354652404785,0.0
COP(=S)(OC)SCSP(=S)(OC)OC,1,6.035126686096191,0.0
C[Si](C)(C)O[Si](C)(C)C,1,1.1371469497680664,0.0
C/C=N/O,1,3.5631601810455322,0.0
COP(=S)(OC)SCN1C(=O)ccC1=O,1,5.817572116851807,0.0
CC1(C)OccO1,1,1.183049201965332,0.0
CO/N=C(\C)C(C(C)=O)=C(C)O,1,4.62725830078125,0.0
C[Se][Se]C,1,2.784393310546875,0.0
CNS(C)(=O)=O,1,1.8158509731292725,0.0
C=C(C)C(=O)O,1,5.021180152893066,0.0
cOP(=S)(OC)SC,1,2.695786476135254,0.0
CC(=O)C(=O)O,1,5.320296764373779,0.0
cN1C(=O)CCC1=O,1,2.5198702812194824,0.0
[Na+],1,0.4190359115600586,0.0
cC1=NN(C(=O)N(c)C(=O)OC)COC1,1,5.085205078125,0.0
cS(=O)(=O)NC(=O)n(c)nc,1,5.011598587036133,0.0
CC1=CC=C(C)CC1,1,1.6919887065887451,0.0
