smiles,log KOA,
C,-0.38,
CC,0.42,
CCC,0.97,
CCCC,1.53,
CCCCC,1.95,
CCCCCC,2.4,
CCCCCCC,2.93,
CCCCCCCC,3.3,
CCCCCCCCC,3.9,
CCCCCCCCCCC,4.56,
CCCCCCCCCCCC,4.88,
CCCCCCCCCCCCC,5.34,
CCCCCCCCCCCCCC,6.11,
CCCCCCCCCCCCCCCCCC,7.87,
CCCCCCCCCCCCCCCCCCCC,8.42,
CC(C)C,1.23,
CCCC(C)C,2.34,
CCC(C)CC,1.93,
CC(C)C(C)C,1.84,
CC(C)CC(C)C,2.63,
CC(C)CCC(C)C,3.1,
CC(C)C(C)C(C)C,3.2,
CC(C)(C)C,1.41,
CCC(C)(C)C,2.09,
C1CC1,1.21,
C1CCCC1,2.21,
C1CCCCC1,2.71,
C1CCCCCC1,3.49,
C1CCCCCCC1,3.86,
CC1CCCC1,2.35,
CC1CCCCC1,3.03,
CCC1CCCCC1,3.57,
C1CCC2CCCCC2C1,4.2,
CC1CCC(C(C)C)CC1,4.06,
CC1(C)C2CC3C(C2)C31C,3.87,
C=C,0.28,
C=CC,0.92,
C=CCC,1.5,
C/C=C\C,1.43,
C/C=C/C,1.42,
C=CCCC,1.93,
C=CCCCC,2.41,
C=CCCCCC,2.93,
C=CCCCCCC,3.35,
C/C=C/CCCCC,3.16,
C=CCCCCCCC,3.83,
C=CCCCCCCCC,4.47,
C=C(C)C,1.46,
CC=C(C)C,1.78,
C=CCC(C)C,2.1,
C=C(C)CC(C)(C)C,2.79,
C1=CCCCC1,2.83,
CC1=CCC2CC1C2(C)C,3.75,
C=C1CCC2CC1C2(C)C,3.68,
C=C1C2CCC(C2)C1(C)C,4.04,
CC1=CCC2C(C1)C2(C)C,3.8,
C=C1CCC2(C(C)C)CC12,4.39,
C=CC=C,1.62,
C=CCC=C,1.87,
C=CCCC=C,2.21,
C=CC(=C)C,2.06,
CC(C)=CC=C(C)C,3.31,
C1=CCC=CC1,2.71,
C=CC1CC=CCC1,3.79,
C/C=C1\CC2C=CC1C2,4.23,
C1=CC2C3C=CC(C3)C2C1,3.18,
CC1=CC=C(C(C)C)CC1,3.9,
CC1=CCC(C(C)C)=CC1,4.28,
C=C(C)C1CC=C(C)CC1,4.04,
CC1=CCC(=C(C)C)CC1,4.59,
CC1=CC[C@H](C(C)C)C=C1,4.41,
C=C1C=C[C@H](C(C)C)CC1,4.42,
C=CC(=C)CCC=C(C)C,4.08,
C1=CC=CCC=C1,3.38,
C1=C\CC/C=C/CC/C=C\CC/1,5.43,
C#C,0.33,
C#CC,1.15,
C#CCC,1.59,
C#CCCC,2,
C#CCCCC,2.58,
C#CCCCCC,2.97,
C#CCCCCCC,3.53,
C#CCCCCCCC,3.93,
c1ccccc1,2.8,
Cc1ccccc1,3.31,
CCc1ccccc1,3.72,
Cc1ccccc1C,3.92,
Cc1cccc(C)c1,3.81,
Cc1ccc(C)cc1,3.79,
CCCc1ccccc1,4.09,
CCc1ccccc1C,4.23,
CCc1ccc(C)cc1,4.28,
Cc1ccc(C)c(C)c1,4.2,
Cc1cc(C)cc(C)c1,4.18,
Cc1cccc(C)c1C,4.61,
CCCCc1ccccc1,4.34,
CCc1ccc(CC)cc1,4.75,
CCc1cccc(CC)c1,5.18,
Cc1ccc(C)c(C)c1C,4.4,
Cc1cc(C)c(C)cc1C,5.08,
CCCc1cccc(C)c1,5.09,
CCCCCc1ccccc1,5.26,
Cc1cc(C)c(C)c(C)c1C,6.12,
Cc1c(C)c(C)c(C)c(C)c1C,6.31,
CCCCCCc1ccccc1,5.83,
CCCCCCCc1ccccc1,6.3,
CCCCCCCCc1ccccc1,6.42,
CCCCCCCCCCc1ccccc1,7.43,
CC(C)c1ccccc1,3.98,
CC(C)Cc1ccccc1,4.01,
CCC(C)c1ccccc1,4.2,
Cc1ccccc1C(C)C,4.84,
Cc1cccc(C(C)C)c1,5.17,
Cc1ccc(C(C)C)cc1,4.54,
CC(C)(C)c1ccccc1,4.18,
Cc1ccc(C(C)(C)C)cc1,4.39,
c1ccc2c(c1)CCC2,4.28,
c1ccc2c(c1)CCCC2,4.65,
C=Cc1ccccc1,3.93,
C=Cc1cccc(C)c1,4.3,
C=C(C)c1ccccc1,4.44,
C1=CCC(c2ccccc2)CC1,5.66,
C#Cc1ccccc1,4.11,
c1ccc(Cc2ccccc2)cc1,6.11,
c1ccc(CCc2ccccc2)cc1,7.01,
C(=C/c1ccccc1)\c1ccccc1,7.48,
c1ccc(-c2ccccc2)cc1,5.88,
CC(C)c1cccc(-c2ccccc2)c1,6.69,
CC(C)c1ccc(-c2ccccc2)cc1,6.77,
c1ccc2c(c1)Cc1ccccc1-2,6.79,
Cc1cccc2c1Cc1ccccc1-2,7.75,
c1ccc2c(c1)CCc1ccccc1-2,7.03,
c1ccc2ccccc2c1,5.37,
Cc1ccc2ccccc2c1,5.11,
Cc1cccc2ccccc12,5.57,
CCc1cccc2ccccc12,6.2,
CCc1ccc2ccccc2c1,6.12,
Cc1ccc2ccccc2c1C,6.31,
Cc1cc(C)c2ccccc2c1,6.31,
Cc1ccc(C)c2ccccc12,6.51,
Cc1cccc2c(C)cccc12,6.3,
Cc1ccc2c(C)cccc2c1,6.22,
Cc1ccc2cccc(C)c2c1,6.49,
Cc1cccc2cccc(C)c12,6.56,
Cc1cc2ccccc2cc1C,6.51,
Cc1ccc2cc(C)ccc2c1,6.3,
Cc1ccc2ccc(C)cc2c1,6.14,
Cc1cc(C)c2ccccc2c1C,6.8,
Cc1cc(C)c2cc(C)ccc2c1,6.61,
Cc1ccc(C)c2c(C)cccc12,7.04,
Cc1ccc2c(C)ccc(C)c2c1,6.66,
Cc1ccc2cc(C)c(C)cc2c1,6.68,
Cc1cc(C)c2c(C)cccc2c1,6.81,
Cc1ccc2c(C)c(C)ccc2c1C,7.33,
Cc1cc2c(C)ccc(C)c2cc1C,7.16,
CC(C)c1ccc2ccccc2c1,6.21,
CC(C)c1ccc2cc(C(C)C)ccc2c1,8.1,
c1cc2c3c(cccc3c1)CC2,6.43,
C1=Cc2cccc3cccc1c23,6.34,
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,9.42,
c1ccc2c(c1)-c1cccc3cccc-2c13,8.88,
c1ccc2cc3ccccc3cc2c1,7.71,
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,11.37,
c1ccc2c(c1)ccc1ccccc12,7.62,
Cc1cccc2c1ccc1ccccc12,7.89,
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,11.34,
c1ccc2cc3c(ccc4ccccc43)cc2c1,10.28,
c1ccc2c(c1)ccc1c3ccccc3ccc21,9.85,
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,12.59,
c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,12.11,
c1cc2ccc3cccc4ccc(c1)c2c34,8.83,
c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45,12.43,
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,11.56,
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,10.72,
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,11.7,
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,12.55,
c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,14.69,
CF,0.63,
FCF,0.37,
CC(F)F,0.85,
FC(F)F,0.05,
FC(F)(F)F,-0.95,
FC(F)(F)C(F)(F)F,-0.69,
CCl,1.39,
CCCl,1.78,
CCCCl,2.24,
CC(C)Cl,2.05,
CCCCCl,2.72,
CCC(C)Cl,2.38,
CC(C)(C)Cl,1.84,
CCCCCCl,3.19,
CCC(C)(C)Cl,2.45,
CCCCCCCl,3.76,
CCCCCCCCl,4.07,
CCCCCCCCCl,4.55,
ClCCl,2.23,
ClCCCl,2.78,
CC(Cl)Cl,2.41,
ClCCCCl,3.53,
CCC(Cl)Cl,2.81,
CC(Cl)CCl,2.96,
CC(C)(Cl)Cl,2.3,
ClCCCCCCl,4.47,
ClCCCCCCCCCl,5.92,
ClC(Cl)Cl,2.55,
ClCC(Cl)Cl,3.54,
CC(Cl)(Cl)Cl,2.7,
ClCC(Cl)CCl,4.15,
ClC(Cl)(Cl)Cl,2.79,
ClCC(Cl)(Cl)Cl,3.89,
ClC(Cl)C(Cl)Cl,4.26,
ClCC(Cl)CCCCCCC(Cl)CCl,7.28,
ClC(Cl)C(Cl)(Cl)Cl,4.38,
ClC(Cl)(Cl)C(Cl)(Cl)Cl,4.47,
CBr,1.62,
CCBr,2.11,
CCCBr,2.53,
CC(C)Br,2.48,
CCCCBr,3.08,
CCCCCBr,3.51,
CCCCCCBr,3.77,
CCCCCCCBr,4.26,
CCCCCCCCBr,4.72,
CCCCCCCCCCBr,5.99,
BrCBr,3.07,
BrCCBr,3.69,
BrCCCBr,3.79,
BrCCCCBr,4.48,
BrC(Br)Br,3.97,
BrC(Br)(Br)Br,3.65,
CI,2.16,
CCI,2.59,
CC(C)I,2.96,
CC(C)I,3.27,
CCCCI,3.33,
CCCCCI,3.81,
CCCCCCCI,4.68,
ICI,4.02,
FCCl,1.03,
FC(F)Cl,0.83,
CC(F)(F)Cl,1.27,
FC(F)(F)Cl,-0.01,
FC(Cl)C(F)(F)F,1.11,
FC(Cl)Cl,1.91,
CC(F)(Cl)Cl,1.87,
FC(F)(Cl)Cl,0.48,
FC(F)(F)C(Cl)Cl,1.78,
FC(F)(Cl)C(F)(F)Cl,1.29,
FC(Cl)(Cl)Cl,1.68,
FC(F)(Cl)C(F)(Cl)Cl,2.15,
FC(Cl)(Cl)C(F)(Cl)Cl,2.03,
FC(F)(F)Br,0.63,
ClCBr,2.67,
ClCCCBr,3.72,
FC(F)(F)C(Cl)Br,2.18,
ClC(Cl)Br,2.98,
ClC(Br)Br,3.6,
ClCC(Br)CBr,4.56,
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,7.62,
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,8.74,
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,7.84,
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,8.84,
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,9.12,
BrC1CCCCC1,3.67,
BrC1CCC(Br)C(Br)CCC1Br,7.4,
C=C(F)F,0.13,
FC(F)(F)/C=C\C(F)(F)F,1.55,
C=CCl,0.9,
C=CCCl,1.67,
Cl/C=C\Cl,2.6,
Cl/C=C/Cl,2.73,
C=C(Cl)Cl,2.34,
Cl/C=C\CCl,2.68,
Cl/C=C/CCl,3.28,
C=C(Cl)CCl,3.12,
CC=C(Cl)Cl,2.51,
C=CC(Cl)CCl,3.52,
ClC/C=C/CCl,4.15,
ClC/C=C\CCl,4.04,
ClC=C(Cl)Cl,3,
ClC(Cl)=C(Cl)Cl,3.48,
C=CBr,1.66,
C=CCBr,2.42,
Br/C=C\Br,2.77,
C=C(C)CCl,2.46,
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,8.92,
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,8.87,
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,9.66,
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,9.29,
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,4.58,
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,5.42,
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,8.07,
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,7.7,
Fc1ccccc1,2.84,
Fc1ccccc1F,2.86,
Fc1ccc(F)cc1,2.93,
Fc1cccc(F)c1,2.71,
FC(F)(F)c1ccccc1,3.24,
Fc1cc(F)c(F)c(F)c1F,2.54,
Cc1c(F)c(F)c(F)c(F)c1F,3.19,
Fc1c(F)c(F)c(F)c(F)c1F,2.11,
Clc1ccccc1,3.58,
ClCc1ccccc1,3.74,
Cc1ccccc1Cl,4.11,
Cc1cccc(Cl)c1,4.15,
Cc1ccc(Cl)cc1,4.15,
Clc1ccccc1Cl,4.39,
Clc1ccc(Cl)cc1,4.3,
Clc1cccc(Cl)c1,4.29,
Cc1ccc(Cl)cc1Cl,5.17,
Cc1c(Cl)cccc1Cl,5.13,
Cc1ccc(Cl)c(Cl)c1,5,
ClC(Cl)c1ccccc1,5.01,
Clc1cccc(Cl)c1Cl,5.16,
Clc1ccc(Cl)c(Cl)c1,5.1,
Clc1cc(Cl)cc(Cl)c1,4.91,
Cc1cc(Cl)c(Cl)cc1Cl,5.89,
ClC(Cl)(Cl)c1ccccc1,4.15,
Clc1ccc(Cl)c(Cl)c1Cl,5.83,
Clc1cc(Cl)c(Cl)c(Cl)c1,5.78,
Clc1cc(Cl)c(Cl)cc1Cl,5.8,
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,6.75,
Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,7.25,
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,7.55,
Brc1ccccc1,4.08,
BrCc1ccccc1,4.65,
Cc1ccccc1Br,4.56,
Cc1cccc(Br)c1,4.03,
Cc1ccc(Br)cc1,4.39,
Brc1ccccc1Br,5.2,
Brc1cccc(Br)c1,5.1,
Brc1ccc(Br)cc1,5.21,
Brc1cc(Br)cc(Br)c1,6.1,
Cc1c(Br)c(Br)c(C)c(Br)c1Br,8.85,
Brc1cc(Br)c(Br)c(Br)c1Br,8.3,
Cc1c(Br)c(Br)c(Br)c(Br)c1Br,9.61,
CCc1c(Br)c(Br)c(Br)c(Br)c1Br,9.26,
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,9.53,
Ic1ccccc1,4.55,
Fc1cccc(Cl)c1,3.4,
Fc1c(Cl)c(F)c(Cl)c(F)c1Cl,4.71,
Fc1cccc(Br)c1,3.8,
Fc1ccc(Br)cc1,4.11,
Clc1ccc(Br)cc1,4.81,
Fc1ccc(I)cc1,4.63,
Clc1ccc(I)cc1,5.34,
Brc1ccc(I)cc1,5.87,
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,9.87,
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,9.57,
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,9.88,
Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,9.74,
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,9.24,
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl,9.26,
Fc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,4.97,
Clc1ccccc1-c1ccccc1,6.43,
Clc1cccc(-c2ccccc2)c1,6.78,
Clc1ccc(-c2ccccc2)cc1,6.77,
Clc1ccccc1-c1ccccc1Cl,6.86,
Clc1cccc(-c2ccccc2)c1Cl,7.35,
Clc1cccc(-c2ccccc2Cl)c1,7.31,
Clc1ccc(-c2ccccc2)c(Cl)c1,7.15,
Clc1ccc(-c2ccccc2Cl)cc1,7.37,
Clc1ccc(Cl)c(-c2ccccc2)c1,7.16,
Clc1cccc(Cl)c1-c1ccccc1,7.18,
Clc1cccc(-c2cccc(Cl)c2)c1,7.66,
Clc1ccc(-c2ccccc2)cc1Cl,7.57,
Clc1ccc(-c2cccc(Cl)c2)cc1,7.47,
Clc1cc(Cl)cc(-c2ccccc2)c1,7.52,
Clc1ccc(-c2ccc(Cl)cc2)cc1,7.63,
Clc1ccc(-c2ccccc2Cl)cc1Cl,8.2,
Clc1cc(Cl)cc(-c2ccccc2Cl)c1,8.03,
Clc1ccccc1-c1cccc(Cl)c1Cl,7.76,
Clc1ccc(-c2ccccc2Cl)c(Cl)c1,7.51,
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,7.56,
Clc1ccccc1-c1c(Cl)cccc1Cl,7.54,
Clc1cccc(-c2cccc(Cl)c2Cl)c1,8.24,
Clc1cccc(-c2ccc(Cl)cc2Cl)c1,8.02,
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,7.99,
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,8.33,
Clc1ccc(Cl)c(-c2ccccc2)c1Cl,7.94,
Clc1cc(Cl)c(-c2ccccc2)cc1Cl,7.96,
Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,7.92,
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,7.56,
Clc1ccc(-c2c(Cl)cccc2Cl)cc1,7.74,
Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,7.92,
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,8.21,
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,8.64,
Clc1ccccc1-c1ccc(Cl)c(Cl)c1Cl,8.58,
Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1,8.64,
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,8.36,
Clc1ccccc1-c1c(Cl)ccc(Cl)c1Cl,6.82,
Clc1ccccc1-c1c(Cl)ccc(Cl)c1Cl,8.32,
Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,8.31,
Clc1cc(Cl)c(-c2ccccc2Cl)cc1Cl,8.25,
Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,8.3,
Clc1ccc(-c2c(Cl)cccc2Cl)c(Cl)c1,7.95,
Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,8.25,
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,7.93,
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,7.76,
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,8.45,
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1,9.13,
Clc1ccc(-c2cc(Cl)cc(Cl)c2Cl)cc1,8.79,
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)cc1,8.38,
Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,9.02,
Clc1cccc(-c2cc(Cl)c(Cl)cc2Cl)c1,9.11,
Clc1cccc(-c2c(Cl)cc(Cl)cc2Cl)c1,8.38,
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,8.95,
Clc1ccc(-c2c(Cl)cccc2Cl)cc1Cl,8.61,
Clc1cc(Cl)c(Cl)c(-c2ccccc2)c1Cl,8.18,
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1,8.86,
Clc1ccc(-c2c(Cl)cc(Cl)cc2Cl)cc1,8.09,
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,9.29,
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,7.7,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1,9.67,
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,8.86,
Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1,8.87,
Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,8.81,
Clc1cc(Cl)c(Cl)c(-c2cccc(Cl)c2Cl)c1,9.13,
Clc1cccc(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,8.8,
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,9.52,
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,8.94,
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,9.18,
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,9.24,
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,9.04,
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,8.16,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1,9.71,
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,9.47,
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,9.53,
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,9.06,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1,10.04,
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,9.06,
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,9.21,
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,8.8,
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1Cl,8.53,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,10.31,
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,9.03,
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,10.36,
Clc1cc(Cl)c(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,9.3,
Clc1cccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1Cl,9.49,
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,9.8,
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,9.44,
Clc1cc(Cl)c(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,9.42,
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,9.27,
Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,9.47,
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,9.81,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,10.1,
Clc1ccc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1,9.34,
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,9.79,
Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,9.56,
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1,9.39,
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,9.8,
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,8.99,
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl,10.07,
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,9.61,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,10.57,
Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,10.77,
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl,9.86,
Clc1cc(Cl)cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,9.91,
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,10.32,
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,9.89,
Clc1cc(Cl)cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,10.36,
Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,10,
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,10.47,
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl,11.02,
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,9.62,
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,10.78,
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,10.25,
Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,10.38,
Clc1cccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,10.3,
Clc1cc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c(Cl)c1Cl,10.22,
Clc1cc(Cl)c(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1,9.88,
Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,9.8,
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1Cl,10.29,
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,9.83,
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,9.81,
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,10.52,
Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,10.51,
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl,10.32,
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,10.4,
Clc1cc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,10.27,
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,11.22,
Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,10.57,
Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,10.62,
Clc1cc(Cl)cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,10.53,
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,11.31,
Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,11.12,
Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,10.82,
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,10.22,
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,10.73,
